Option_expiry,Discount_factor
1D,0.999960557
1W,0.999684723
1M,0.998778948
2M,0.997527403
3M,0.996476323
6M,0.992450051
9M,0.988086652
1Y,0.983539026
1Y6M,0.974038489
2Y,0.964215632
3Y,0.94423346
5Y,0.904792378
7Y,0.865728899
10Y,0.807429493
15Y,0.716771459
20Y,0.637459484
30Y,0.509615334
