Type,Option_expiry,1M,3M,6M,1Y,2Y,3Y,5Y,7Y,10Y,15Y,20Y,25Y,30Y,50Y
Shift,3Y,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Shift,5Y,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Shift,7Y,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Shift,10Y,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Shift,15Y,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Shift,20Y,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Shift,30Y,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Beta,1D,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,1W,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,1M,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,2M,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,3M,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,6M,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,9M,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,1Y,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,1Y6M,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,2Y,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,3Y,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,5Y,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,7Y,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,10Y,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,15Y,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,20Y,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Beta,30Y,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Rho,1D,-0.23,-0.23,-0.23,-0.23,-0.22,-0.22,-0.21,-0.22,-0.23,-0.24,-0.24,-0.24,-0.24,-0.24
Rho,1W,-0.23,-0.23,-0.23,-0.23,-0.22,-0.22,-0.21,-0.22,-0.23,-0.24,-0.24,-0.24,-0.24,-0.24
Rho,1M,-0.23,-0.23,-0.23,-0.23,-0.22,-0.22,-0.21,-0.22,-0.23,-0.24,-0.24,-0.24,-0.24,-0.24
Rho,2M,-0.14,-0.14,-0.14,-0.14,-0.13,-0.12,-0.12,-0.13,-0.14,-0.14,-0.14,-0.15,-0.15,-0.15
Rho,3M,-0.07,-0.07,-0.07,-0.07,-0.06,-0.06,-0.06,-0.07,-0.07,-0.08,-0.08,-0.08,-0.09,-0.09
Rho,6M,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.06,-0.06,-0.07,-0.08,-0.08,-0.09,-0.09
Rho,9M,-0.03,-0.03,-0.03,-0.03,-0.04,-0.04,-0.05,-0.06,-0.06,-0.08,-0.08,-0.09,-0.09,-0.09
Rho,1Y,-0.03,-0.03,-0.03,-0.03,-0.03,-0.04,-0.05,-0.06,-0.07,-0.08,-0.09,-0.1,-0.11,-0.11
Rho,1Y6M,-0.03,-0.03,-0.03,-0.03,-0.04,-0.05,-0.07,-0.08,-0.1,-0.11,-0.12,-0.12,-0.13,-0.13
Rho,2Y,-0.03,-0.03,-0.03,-0.03,-0.05,-0.07,-0.1,-0.11,-0.12,-0.13,-0.14,-0.15,-0.16,-0.16
Rho,3Y,-0.08,-0.08,-0.08,-0.08,-0.1,-0.11,-0.14,-0.15,-0.16,-0.18,-0.19,-0.19,-0.2,-0.2
